uploads,subs,views,country,country_archive_date,country_url,category,cat_archive_date,cat_url,created_at,grade,sb_rank,subs_rank,vid_view_rank,country_rank,category_rank
51750.0,98900000.0,81559621102.0,IN,20210318120511,https://socialblade.com/youtube/top/country/in,Entertainment,20210318120511,https://socialblade.com/youtube/top/category/entertainment,"Sep 20th, 2006",A++,3rd,6th,3rd,2nd,1st
831.0,75700000.0,52859331227.0,US,20210316082321,https://socialblade.com/youtube/top/country/us,Film,20210316082321,https://socialblade.com/youtube/top/category/film,"May 12th, 2015",A++,4th,8th,7th,3rd,2nd
548.0,70300000.0,53279433533.0,US,20210228122718,https://socialblade.com/youtube/top/country/us,Entertainment,20210228122718,https://socialblade.com/youtube/top/category/entertainment,"Dec 6th, 2016",A++,6th,12th,6th,6th,3rd
330.0,63100000.0,44123480178.0,US,20210225134935,https://socialblade.com/youtube/top/country/us,Entertainment,20210225134935,https://socialblade.com/youtube/top/category/entertainment,"Apr 23rd, 2018",A++,7th,15th,11th,7th,4th
67367.0,57200000.0,27873774258.0,IN,20210304092457,https://socialblade.com/youtube/top/country/in,Entertainment,20210304092457,https://socialblade.com/youtube/top/category/entertainment,"Dec 11th, 2005",A++,8th,18th,4th,4th,5th
702.0,54400000.0,9256361110.0,US,20210304065012,https://socialblade.com/youtube/top/country/us,Entertainment,20210304065012,https://socialblade.com/youtube/top/category/entertainment,"Feb 20th, 2012",A+,42nd,20th,201st,9th,6th
33159.0,47100000.0,48962770426.0,IN,20210316084133,https://socialblade.com/youtube/top/country/in,Entertainment,20210316084133,https://socialblade.com/youtube/top/category/entertainment,"Aug 4th, 2007",A++,5th,27th,9th,7th,7th
6704.0,43700000.0,16838633500.0,MX,20201113085511,https://socialblade.com/youtube/top/country/mx,Entertainment,20201113085511,https://socialblade.com/youtube/top/category/entertainment,"Oct 14th, 2014",A,668th,28th,51st,1st,7th
136.0,41300000.0,4317897762.0,CL,20200801182641,https://socialblade.com/youtube/top/country/cl,Entertainment,20200801182641,https://socialblade.com/youtube/top/category/entertainment,"Sep 8th, 2011",A-,"4,141st",26th,515th,1st,8th
,,,,,,,,,,,,,,,
105.0,39000000.0,370971321.0,US,20201112220850,https://socialblade.com/youtube/top/country/us,Entertainment,20201112220850,https://socialblade.com/youtube/top/category/entertainment,"Jun 1st, 2008",B-,"289,077th",43rd,"12,953rd",16th,11th
832.0,39800000.0,9153592920.0,ES,20210414202830,https://socialblade.com/youtube/top/country/es,Entertainment,20210414202830,https://socialblade.com/youtube/top/category/entertainment,"Dec 20th, 2011",B+,"7,291st",46th,242nd,1st,14th
1127.0,37300000.0,5547826618.0,BR,20200929190205,https://socialblade.com/youtube/top/country/br,Entertainment,20200929190205,https://socialblade.com/youtube/top/category/entertainment,"Sep 1st, 2013",A-,"1,314th",46th,398th,4th,15th
12779.0,37800000.0,21409238417.0,US,20210318120751,https://socialblade.com/youtube/top/country/us,Entertainment,20210318120751,https://socialblade.com/youtube/top/category/entertainment,"Nov 21st, 2006",A-,"1,112th",54th,32nd,20th,14th
404.0,36800000.0,16055630094.0,US,20210304093428,https://socialblade.com/youtube/top/country/us,Entertainment,20210304093428,https://socialblade.com/youtube/top/category/entertainment,"Nov 14th, 2017",A,79th,55th,72nd,21st,15th
79.0,36800000.0,17360216864.0,BB,20210318120737,https://socialblade.com/youtube/top/country/bb,Entertainment,20210318120737,https://socialblade.com/youtube/top/category/entertainment,"Nov 6th, 2005",B,"204,348th",57th,"74,391st",1st,16th
30158.0,17958191.0,12316734577.0,IN,20190524063929,https://socialblade.com/youtube/top/country/in,Entertainment,20190524063929,https://socialblade.com/youtube/top/category/entertainment,"Jun 13th, 2008",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
151773.0,32100000.0,40310442632.0,PH,20210126093739,https://socialblade.com/youtube/top/country/ph,Entertainment,20210126093739,https://socialblade.com/youtube/top/category/entertainment,"Jul 16th, 2008",A,64th,72nd,13th,1st,22nd
53757.0,32799999.0,29481700514.0,TH,20210318120752,https://socialblade.com/youtube/top/country/th,Entertainment,20210318120752,https://socialblade.com/youtube/top/category/entertainment,"Nov 5th, 2012",A,86th,71st,21st,1st,21st
517.0,27200000.0,22681455399.0,US,20201203151344,https://socialblade.com/youtube/top/country/us,Entertainment,20201203151344,https://socialblade.com/youtube/top/category/entertainment,"Mar 17th, 2016",A+,12th,97th,26th,34th,28th
6956.0,28100000.0,15265192791.0,IN,20210119192419,https://socialblade.com/youtube/top/country/in,Entertainment,20210119192419,https://socialblade.com/youtube/top/category/entertainment,"Sep 1st, 2007",A,73rd,93rd,77th,20th,27th
0.0,6320.0,0.0,MX,20210318120530,https://socialblade.com/youtube/top/country/mx,Games,20210318120530,https://socialblade.com/youtube/top/category/games,"Sep 2nd, 2009",D+,"35,310,695th","1,913,820th","43,067,690th","33,106th","148,379th"
9282.0,27600000.0,10707026011.0,BR,20200801111738,https://socialblade.com/youtube/top/country/br,Entertainment,20200801111738,https://socialblade.com/youtube/top/category/entertainment,"Feb 12th, 2012",A,367th,80th,116th,7th,23rd
1916.0,28500000.0,45218178297.0,US,20210214143152,https://socialblade.com/youtube/top/country/us,Entertainment,20210214143152,https://socialblade.com/youtube/top/category/entertainment,"Mar 17th, 2015",A+,28th,95th,10th,34th,27th
353.0,28900000.0,6846792910.0,BY,20210318120526,https://socialblade.com/youtube/top/country/by,Entertainment,20210318120526,https://socialblade.com/youtube/top/category/entertainment,"Nov 29th, 2014",A,56th,94th,350th,1st,27th
